customerid,tenure_group,contract,paymentmethod,monthlycharges,total_revenue,churn_flag,risk_level,value_segment,lifecycle_stage
7590-VHVEG,0-1 year,Month-to-month,Electronic check,29.85,29.85,0,Low Risk,Low Value,New (0-1y)
5575-GNVDE,2-4 years,One year,Mailed check,56.95,1936.3,0,Low Risk,Mid Value,Mature (2-4y)
3668-QPYBK,0-1 year,Month-to-month,Mailed check,53.85,107.7,1,High Risk,Low Value,New (0-1y)
7795-CFOCW,2-4 years,One year,Bank transfer (automatic),42.3,1903.5,0,Low Risk,Mid Value,Mature (2-4y)
9237-HQITU,0-1 year,Month-to-month,Electronic check,70.7,141.4,1,High Risk,Low Value,New (0-1y)
9305-CDSKC,0-1 year,Month-to-month,Electronic check,99.65,797.2,1,High Risk,Low Value,New (0-1y)
1452-KIOVK,1-2 years,Month-to-month,Credit card (automatic),89.1,1960.2,0,Low Risk,Mid Value,Growing (1-2y)
6713-OKOMC,0-1 year,Month-to-month,Mailed check,29.75,297.5,0,Low Risk,Low Value,New (0-1y)
7892-POOKP,2-4 years,Month-to-month,Electronic check,104.8,2934.4,1,High Risk,Mid Value,Mature (2-4y)
6388-TABGU,4+ years,One year,Bank transfer (automatic),56.15,3481.3,0,Low Risk,High Value,Loyal (4y+)
9763-GRSKD,1-2 years,Month-to-month,Mailed check,49.95,649.35,0,Low Risk,Low Value,Growing (1-2y)
7469-LKBCI,1-2 years,Two year,Credit card (automatic),18.95,303.2,0,Low Risk,Low Value,Growing (1-2y)
8091-TTVAX,4+ years,One year,Credit card (automatic),100.35,5820.3,0,Low Risk,High Value,Loyal (4y+)
0280-XJGEX,4+ years,Month-to-month,Bank transfer (automatic),103.7,5081.3,1,High Risk,High Value,Loyal (4y+)
5129-JLPIS,2-4 years,Month-to-month,Electronic check,105.5,2637.5,0,Low Risk,Mid Value,Mature (2-4y)
3655-SNQYZ,4+ years,Two year,Credit card (automatic),113.25,7814.25,0,Low Risk,High Value,Loyal (4y+)
8191-XWSZG,4+ years,One year,Mailed check,20.65,1073.8,0,Low Risk,Mid Value,Loyal (4y+)
9959-WOFKT,4+ years,Two year,Bank transfer (automatic),106.7,7575.7,0,Low Risk,High Value,Loyal (4y+)
4190-MFLUW,0-1 year,Month-to-month,Credit card (automatic),55.2,552,1,High Risk,Low Value,New (0-1y)
4183-MYFRB,1-2 years,Month-to-month,Electronic check,90.05,1891.05,0,Low Risk,Mid Value,Growing (1-2y)
8779-QRDMV,0-1 year,Month-to-month,Electronic check,39.65,39.65,1,High Risk,Low Value,New (0-1y)
1680-VDCWW,0-1 year,One year,Bank transfer (automatic),19.8,237.6,0,Low Risk,Low Value,New (0-1y)
1066-JKSGK,0-1 year,Month-to-month,Mailed check,20.15,20.15,1,High Risk,Low Value,New (0-1y)
3638-WEABW,4+ years,Two year,Credit card (automatic),59.9,3474.2,0,Low Risk,High Value,Loyal (4y+)
6322-HRPFA,4+ years,Month-to-month,Credit card (automatic),59.6,2920.4,0,Low Risk,Mid Value,Loyal (4y+)
6865-JZNKO,2-4 years,Month-to-month,Bank transfer (automatic),55.3,1659,0,Low Risk,Mid Value,Mature (2-4y)
6467-CHFZW,2-4 years,Month-to-month,Electronic check,99.35,4669.45,1,High Risk,High Value,Mature (2-4y)
8665-UTDHZ,0-1 year,Month-to-month,Electronic check,30.2,30.2,1,High Risk,Low Value,New (0-1y)
5248-YGIJN,4+ years,Two year,Credit card (automatic),90.25,6498,0,Low Risk,High Value,Loyal (4y+)
8773-HHUOZ,1-2 years,Month-to-month,Mailed check,64.7,1099.9,1,High Risk,Mid Value,Growing (1-2y)
